Drawing,Number,Annotation,,,,,
W1B - Civil - Ashton Moss ASP Existing General Arrangement,151667-TSA-W1B-MVL1-DRG-C-CV-025001,1. All dimensions are in millimetres unless stated otherwise. All levels are in metres above Ordnance Survey Datum Newlyn.,,,,,
W1B - Civil - Ashton Moss ASP Existing General Arrangement,151667-TSA-W1B-MVL1-DRG-C-CV-025001,"2. TPEN chainage string is based on FUGRO RILA data captured March 2017 and follows the down main 6' rail throughout this zone. The datum is the down cess 8 mile post (12874.752m) at Stalybridge taken from ""104536-SUR-Stalybridge combined survey + AFC.dgn""",,,,,
W1B - Civil - Ashton Moss ASP Existing General Arrangement,151667-TSA-W1B-MVL1-DRG-C-CV-025001,3. The CDM hazard record is to be read in conjunction with this drawing: ,,,,,
W1B - Civil - Ashton Moss ASP Existing General Arrangement,151667-TSA-W1B-MVL1-DRG-C-CV-025001,4. This drawing is read to be in conjunction with all drawings listed on Drg. No. and F003 Document:,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,1. All dimensions are in millimetres unless stated otherwise. All levels are in metres above Ordnance Survey Datum Newlyn.,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,"2. TPEN chainage string is based on FUGRO RILA data captured March 2017 and follows the down main 6' rail throughout this zone. The datum is the down cess 8 mile post (12874.752m) at Stalybridge taken from ""104536-SUR-Stalybridge combined survey + AFC.dgn""",,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,3. The CDM hazard record is to be read in conunction with this drawing:,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,4. This drawing is read to be in conjunction with all drawings listed on this drawing and F003 Document:,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,5. All works to be in accordance with Network Rail company standards NR/L3/CIV/140, model clauses for specifying Civil Engineering Works.,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,6. Concrete bases will be designed for an allowable bearing of 50kPa (unless noted otherwise).,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,7. Ground under concrete footings to be well compacted prior to laying concrete. Any soft spots to be excavated and backfilled with Type 1 fill compacted in 150mm thk. layers.,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,8. Type 1 fill material to be in accordance with highways agency specifications for highway works.,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,9. Swept path analysis has been performed at GRIP 4 at this site for access to the ASP and existing REB using Iveco Eurocargo rigid bodied vehicle. Signage provided on the existing access gate specifying that reverse access is required for entry into the ASP compound using this vehicle.,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,10. Prior to construction all vegetation is to be removed in the vicinity of the works and ground treated with a non-toxic herbicide. Refer also to NR/L2/OTK/5201 and NR/L3/TRK/003/TEF3077. New and modified lineside assets to have vegetation removed within 1m with herbicide as advised by a BASIS approved advisor after regrowth. These distances are required at handback.,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,11. Any and all excavated fill will not be placed or left on site in such a way as to destabilise the existing slope.,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,12. Arising from excavations not required for backfill may be spread evenly and neatly over the site subject to approval of the project engineer, however if the site investigation has determined that the excavated material is contaminated it must be removed from the site to a suitably licensed tip.,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,13. The contractor is to be responsible for all dimensions and setting out. All dimensions and setting out to be independently verified.,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,14. All proprietary products to be installed in accordance with the manufacturers' installation manual/guidelines. Where a products specified an alternative equivalent system may be used either subject to the approval of the designer, or for some products as per the specification requirements provided. For product details refer to the Civils Specification (Section 10),,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,15. Construction shall be in accordance with the outline sequence shown on Drg. No. ,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,16. Excavation works to be carriedd out in accordance with Contractor's Temporary Works Design.,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,\H0.714286x;Drawing Title,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,W1B - Civil - Ashton Moss ASP Existing General Arrangement,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,W1B - Civil - Ashton Moss ASP Proposed Cross Sections,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,W1B - Civil - Ashton Moss ASP Proposed Compound Layout,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,W1B - Civil - Ashton Moss ASP GA and RC Details of ASP Slab,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,W1B - Civil - Ashton Moss ASP Proposed Details (Sheet 1 of 2),,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,W1B - Civil - Ashton Moss ASP GA and RC Details of Generator Slab,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,W1B - Civil - Ashton Moss ASP Proposed Details (Sheet 2 of 2),,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,W1B - Civil - Ashton Moss URX Proposed General Arrangement and Sections,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,W1B - Civil - Ashton Moss ASP Proposed Access Track,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,W1B - Civil - Ashton Moss ASP Proposed Earthing and Bonding Components,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,W1B - Civil - Ashton Moss DNO Proposed General Arrangement,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,W1B - Civil - Ashton Moss DNO Proposed DNO Slab GA,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,W1B - Civil - Ashton Moss DNO Proposed Fencing Details,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,\H0.714286x;Drawing Number,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,151667-TSA-W1B-MVL1-DRG-C-CV-025001,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,151667-TSA-W1B-MVL1-DRG-C-CV-025002,,,,,
W1B - Civil - Ashton Moss ASP Compound Proposed General Arrangement and Cross Sections,151667-TSA-W1B-MVL1-DRG-C-CV-025002,151667-TSA-W1B-MVL1-DRG-C-CV-025011,,,,,
